Replicate,SmoothCFU,RugoseCFU,DilutionFactor,mLPlated
A,58,10,1e-06,0.05
B,104,6,1e-06,0.05
C,129,5,1e-06,0.05
D,80,12,1e-06,0.05
E,188,9,1e-06,0.05
F,20,10,1e-06,0.05
