Update,Type,Abundance
0,Cooperator,0
0,Cheater,1
100,Cooperator,0
100,Cheater,34
200,Cooperator,0
200,Cheater,129
300,Cooperator,0
300,Cheater,292
400,Cooperator,0
400,Cheater,550
500,Cooperator,0
500,Cheater,891
600,Cooperator,0
600,Cheater,1316
700,Cooperator,6
700,Cheater,1821
800,Cooperator,2
800,Cheater,2442
900,Cooperator,3
900,Cheater,3282
1000,Cooperator,48
1000,Cheater,4094
1100,Cooperator,146
1100,Cheater,2918
1200,Cooperator,437
1200,Cheater,2188
1300,Cooperator,630
1300,Cheater,1900
1400,Cooperator,385
1400,Cheater,1639
1500,Cooperator,101
1500,Cheater,889
1600,Cooperator,44
1600,Cheater,1402
1700,Cooperator,26
1700,Cheater,1457
1800,Cooperator,19
1800,Cheater,1678
1900,Cooperator,25
1900,Cheater,2082
2000,Cooperator,31
2000,Cheater,1868
2100,Cooperator,17
2100,Cheater,2021
2200,Cooperator,21
2200,Cheater,2568
2300,Cooperator,27
2300,Cheater,2829
2400,Cooperator,18
2400,Cheater,2627
2500,Cooperator,19
2500,Cheater,2487
2600,Cooperator,33
2600,Cheater,2955
2700,Cooperator,27
2700,Cheater,2643
2800,Cooperator,33
2800,Cheater,3117
2900,Cooperator,37
2900,Cheater,3393
3000,Cooperator,44
3000,Cheater,3350
3100,Cooperator,53
3100,Cheater,4024
3200,Cooperator,51
3200,Cheater,3730
3300,Cooperator,44
3300,Cheater,3717
3400,Cooperator,49
3400,Cheater,3803
3500,Cooperator,35
3500,Cheater,4008
3600,Cooperator,52
3600,Cheater,4326
3700,Cooperator,54
3700,Cheater,4393
3800,Cooperator,78
3800,Cheater,4452
3900,Cooperator,55
3900,Cheater,5043
4000,Cooperator,69
4000,Cheater,5669
4100,Cooperator,55
4100,Cheater,5865
4200,Cooperator,73
4200,Cheater,5931
4300,Cooperator,67
4300,Cheater,6190
4400,Cooperator,56
4400,Cheater,6126
4500,Cooperator,76
4500,Cheater,6463
4600,Cooperator,72
4600,Cheater,6686
4700,Cooperator,95
4700,Cheater,6805
4800,Cooperator,84
4800,Cheater,6442
4900,Cooperator,96
4900,Cheater,6609
5000,Cooperator,77
5000,Cheater,6172
5100,Cooperator,86
5100,Cheater,6348
5200,Cooperator,93
5200,Cheater,6436
5300,Cooperator,93
5300,Cheater,6593
5400,Cooperator,97
5400,Cheater,6413
5500,Cooperator,85
5500,Cheater,6431
5600,Cooperator,97
5600,Cheater,6181
5700,Cooperator,97
5700,Cheater,6532
5800,Cooperator,93
5800,Cheater,6843
5900,Cooperator,83
5900,Cheater,6418
6000,Cooperator,98
6000,Cheater,6184
6100,Cooperator,71
6100,Cheater,6439
6200,Cooperator,92
6200,Cheater,6439
6300,Cooperator,105
6300,Cheater,6598
6400,Cooperator,106
6400,Cheater,6461
6500,Cooperator,104
6500,Cheater,6736
6600,Cooperator,117
6600,Cheater,6529
6700,Cooperator,97
6700,Cheater,6731
6800,Cooperator,116
6800,Cheater,6698
6900,Cooperator,97
6900,Cheater,6734
7000,Cooperator,104
7000,Cheater,6486
7100,Cooperator,73
7100,Cheater,6675
7200,Cooperator,120
7200,Cheater,6933
7300,Cooperator,101
7300,Cheater,6676
7400,Cooperator,121
7400,Cheater,6237
7500,Cooperator,90
7500,Cheater,6221
7600,Cooperator,87
7600,Cheater,6421
7700,Cooperator,99
7700,Cheater,6556
7800,Cooperator,74
7800,Cheater,6531
7900,Cooperator,120
7900,Cheater,6586
8000,Cooperator,93
8000,Cheater,6660
8100,Cooperator,106
8100,Cheater,6557
8200,Cooperator,146
8200,Cheater,6704
8300,Cooperator,103
8300,Cheater,6749
8400,Cooperator,156
8400,Cheater,6526
8500,Cooperator,192
8500,Cheater,6968
8600,Cooperator,233
8600,Cheater,6847
8700,Cooperator,258
8700,Cheater,6511
8800,Cooperator,265
8800,Cheater,6647
8900,Cooperator,368
8900,Cheater,6738
9000,Cooperator,320
9000,Cheater,6643
9100,Cooperator,242
9100,Cheater,6630
9200,Cooperator,346
9200,Cheater,7067
9300,Cooperator,384
9300,Cheater,6825
9400,Cooperator,403
9400,Cheater,6881
9500,Cooperator,488
9500,Cheater,6943
9600,Cooperator,529
9600,Cheater,6403
9700,Cooperator,595
9700,Cheater,6797
9800,Cooperator,561
9800,Cheater,6766
9900,Cooperator,518
9900,Cheater,6872
10000,Cooperator,493
10000,Cheater,6627
10100,Cooperator,427
10100,Cheater,6817
10200,Cooperator,444
10200,Cheater,6857
10300,Cooperator,706
10300,Cheater,6747
10400,Cooperator,919
10400,Cheater,6861
10500,Cooperator,956
10500,Cheater,6569
10600,Cooperator,914
10600,Cheater,6733
10700,Cooperator,845
10700,Cheater,6747
10800,Cooperator,788
10800,Cheater,6809
10900,Cooperator,664
10900,Cheater,6951
11000,Cooperator,678
11000,Cheater,7115
11100,Cooperator,590
11100,Cheater,6642
11200,Cooperator,568
11200,Cheater,6869
11300,Cooperator,750
11300,Cheater,6944
11400,Cooperator,727
11400,Cheater,6629
11500,Cooperator,783
11500,Cheater,6771
11600,Cooperator,801
11600,Cheater,6798
11700,Cooperator,1034
11700,Cheater,6597
11800,Cooperator,935
11800,Cheater,6619
11900,Cooperator,900
11900,Cheater,6884
12000,Cooperator,901
12000,Cheater,6682
12100,Cooperator,768
12100,Cheater,7118
12200,Cooperator,762
12200,Cheater,6797
12300,Cooperator,746
12300,Cheater,6796
12400,Cooperator,656
12400,Cheater,7095
12500,Cooperator,648
12500,Cheater,6813
12600,Cooperator,738
12600,Cheater,6979
12700,Cooperator,850
12700,Cheater,6571
12800,Cooperator,842
12800,Cheater,6682
12900,Cooperator,835
12900,Cheater,6606
13000,Cooperator,915
13000,Cheater,6658
13100,Cooperator,848
13100,Cheater,6542
13200,Cooperator,925
13200,Cheater,6871
13300,Cooperator,876
13300,Cheater,6892
13400,Cooperator,831
13400,Cheater,6765
13500,Cooperator,771
13500,Cheater,6850
13600,Cooperator,834
13600,Cheater,6943
13700,Cooperator,1094
13700,Cheater,6473
13800,Cooperator,1126
13800,Cheater,6524
13900,Cooperator,1103
13900,Cheater,6681
14000,Cooperator,993
14000,Cheater,6934
14100,Cooperator,958
14100,Cheater,6773
14200,Cooperator,984
14200,Cheater,6665
14300,Cooperator,819
14300,Cheater,7056
14400,Cooperator,861
14400,Cheater,6625
14500,Cooperator,858
14500,Cheater,6822
14600,Cooperator,773
14600,Cheater,6733
14700,Cooperator,659
14700,Cheater,6643
14800,Cooperator,624
14800,Cheater,6349
14900,Cooperator,407
14900,Cheater,5866
15000,Cooperator,332
15000,Cheater,5933
15100,Cooperator,384
15100,Cheater,6114
15200,Cooperator,381
15200,Cheater,6610
15300,Cooperator,211
15300,Cheater,6443
15400,Cooperator,203
15400,Cheater,6356
15500,Cooperator,227
15500,Cheater,6805
15600,Cooperator,169
15600,Cheater,6842
15700,Cooperator,173
15700,Cheater,6825
15800,Cooperator,165
15800,Cheater,6862
15900,Cooperator,191
15900,Cheater,6751
16000,Cooperator,191
16000,Cheater,6985
16100,Cooperator,178
16100,Cheater,6967
16200,Cooperator,170
16200,Cheater,6854
16300,Cooperator,180
16300,Cheater,6742
16400,Cooperator,171
16400,Cheater,6982
16500,Cooperator,183
16500,Cheater,7095
16600,Cooperator,180
16600,Cheater,6743
16700,Cooperator,185
16700,Cheater,7067
16800,Cooperator,179
16800,Cheater,6903
16900,Cooperator,162
16900,Cheater,6650
17000,Cooperator,163
17000,Cheater,6798
17100,Cooperator,185
17100,Cheater,6998
17200,Cooperator,195
17200,Cheater,6938
17300,Cooperator,183
17300,Cheater,6676
17400,Cooperator,179
17400,Cheater,6411
17500,Cooperator,194
17500,Cheater,6666
17600,Cooperator,178
17600,Cheater,6541
17700,Cooperator,152
17700,Cheater,6501
17800,Cooperator,162
17800,Cheater,6804
17900,Cooperator,167
17900,Cheater,6845
18000,Cooperator,186
18000,Cheater,6837
18100,Cooperator,187
18100,Cheater,6503
18200,Cooperator,145
18200,Cheater,6526
18300,Cooperator,179
18300,Cheater,6688
18400,Cooperator,166
18400,Cheater,6981
18500,Cooperator,194
18500,Cheater,6702
18600,Cooperator,166
18600,Cheater,6792
18700,Cooperator,151
18700,Cheater,6838
18800,Cooperator,154
18800,Cheater,6911
18900,Cooperator,189
18900,Cheater,6995
19000,Cooperator,172
19000,Cheater,6729
19100,Cooperator,184
19100,Cheater,7033
19200,Cooperator,157
19200,Cheater,7214
19300,Cooperator,178
19300,Cheater,7114
19400,Cooperator,141
19400,Cheater,7064
19500,Cooperator,160
19500,Cheater,6508
19600,Cooperator,164
19600,Cheater,6864
19700,Cooperator,155
19700,Cheater,7082
19800,Cooperator,144
19800,Cheater,6693
19900,Cooperator,167
19900,Cheater,6909
20000,Cooperator,161
20000,Cheater,7004
20100,Cooperator,167
20100,Cheater,6758
20200,Cooperator,179
20200,Cheater,7148
20300,Cooperator,161
20300,Cheater,6990
20400,Cooperator,213
20400,Cheater,6868
20500,Cooperator,173
20500,Cheater,7131
20600,Cooperator,138
20600,Cheater,6691
20700,Cooperator,173
20700,Cheater,7022
20800,Cooperator,165
20800,Cheater,6809
20900,Cooperator,185
20900,Cheater,6854
21000,Cooperator,198
21000,Cheater,6988
21100,Cooperator,180
21100,Cheater,6809
21200,Cooperator,176
21200,Cheater,6947
21300,Cooperator,156
21300,Cheater,6736
21400,Cooperator,178
21400,Cheater,6821
21500,Cooperator,172
21500,Cheater,6678
21600,Cooperator,155
21600,Cheater,6884
21700,Cooperator,171
21700,Cheater,6996
21800,Cooperator,148
21800,Cheater,6890
21900,Cooperator,172
21900,Cheater,6783
22000,Cooperator,198
22000,Cheater,7332
22100,Cooperator,159
22100,Cheater,6897
22200,Cooperator,172
22200,Cheater,6960
22300,Cooperator,221
22300,Cheater,7058
22400,Cooperator,173
22400,Cheater,6515
22500,Cooperator,166
22500,Cheater,6742
22600,Cooperator,169
22600,Cheater,6957
22700,Cooperator,146
22700,Cheater,6749
22800,Cooperator,171
22800,Cheater,6976
22900,Cooperator,207
22900,Cheater,7134
23000,Cooperator,175
23000,Cheater,6828
23100,Cooperator,169
23100,Cheater,6775
23200,Cooperator,163
23200,Cheater,7029
23300,Cooperator,168
23300,Cheater,6895
23400,Cooperator,172
23400,Cheater,7038
23500,Cooperator,171
23500,Cheater,6988
23600,Cooperator,167
23600,Cheater,6826
23700,Cooperator,185
23700,Cheater,7053
23800,Cooperator,165
23800,Cheater,6962
23900,Cooperator,166
23900,Cheater,7101
24000,Cooperator,194
24000,Cheater,7163
24100,Cooperator,150
24100,Cheater,7151
24200,Cooperator,168
24200,Cheater,7017
24300,Cooperator,194
24300,Cheater,6887
24400,Cooperator,201
24400,Cheater,7064
24500,Cooperator,192
24500,Cheater,7037
24600,Cooperator,166
24600,Cheater,7188
24700,Cooperator,182
24700,Cheater,6901
24800,Cooperator,177
24800,Cheater,7192
24900,Cooperator,153
24900,Cheater,6973
25000,Cooperator,187
25000,Cheater,7219
25100,Cooperator,172
25100,Cheater,7204
25200,Cooperator,174
25200,Cheater,7246
25300,Cooperator,190
25300,Cheater,7311
25400,Cooperator,171
25400,Cheater,7076
25500,Cooperator,195
25500,Cheater,7183
