Replicate,SmoothCFU,RugoseCFU,DilutionFactor,mLPlated
A,45,33,1e-06,0.025
B,152,89,1e-06,0.025
C,116,34,1e-06,0.025
D,133,36,1e-06,0.025
E,101,53,1e-06,0.025
F,39,22,1e-06,0.025
